Judul,Nama Penulis,Pembimbing I,Pembimbing II,Abstrak,Prodi,Label,abstrak_tokens
Sistem Dinamik Ketersediaan Jagung Di Pamekasan,Ilmiyatus Shalihah,"Achmad Jauhari, S.T,. M.Kom","Sigit Susanto Putro, S.Kom,.M.Kom",abstract jagung kabupaten pamekasan pokok pengganti beras ketersediaan jagung mencukupi kebutuhan dibutuhkan sistem menganalisa tujuan penelitian ketersediaan jagung alternatif kebijakan meningkatkan ketersediaan jagung metode penelitian pendekatan sistem dinamik dilanjutkan simulasi berdasarkan skenario ditetapkan aspek dikaji penelitian meliputi sub sistem penyediaan sub sistem kebutuhan pemodelan sistem dinamik alat bantu diagram simpal kausal loops menghasilkan struktur model dinamis perilaku sistem dinamis berdasarkan hasil simulasi meningkatkan ketersediaan jagung pamekasan peningkatan produksi jagung penggunaan pupuk npk penggunaan bibit unggul hibrida gabungan penggunaan pupuk npk meningkatkan produksi jagung penggunaan bibit unggul hibrida meningkatkan produksi jagung penggunaan bibit hibrida pupuk npk meningkatkan produksi jagung, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['abstract', 'jagung', 'kabupaten', 'pamekasan', 'pokok', 'pengganti', 'beras', 'ketersediaan', 'jagung', 'mencukupi', 'kebutuhan', 'dibutuhkan', 'sistem', 'menganalisa', 'tujuan', 'penelitian', 'ketersediaan', 'jagung', 'alternatif', 'kebijakan', 'meningkatkan', 'ketersediaan', 'jagung', 'metode', 'penelitian', 'pendekatan', 'sistem', 'dinamik', 'dilanjutkan', 'simulasi', 'berdasarkan', 'skenario', 'ditetapkan', 'aspek', 'dikaji', 'penelitian', 'meliputi', 'sub', 'sistem', 'penyediaan', 'sub', 'sistem', 'kebutuhan', 'pemodelan', 'sistem', 'dinamik', 'alat', 'bantu', 'diagram', 'simpal', 'kausal', 'loops', 'menghasilkan', 'struktur', 'model', 'dinamis', 'perilaku', 'sistem', 'dinamis', 'berdasarkan', 'hasil', 'simulasi', 'meningkatkan', 'ketersediaan', 'jagung', 'pamekasan', 'peningkatan', 'produksi', 'jagung', 'penggunaan', 'pupuk', 'npk', 'penggunaan', 'bibit', 'unggul', 'hibrida', 'gabungan', 'penggunaan', 'pupuk', 'npk', 'meningkatkan', 'produksi', 'jagung', 'penggunaan', 'bibit', 'unggul', 'hibrida', 'meningkatkan', 'produksi', 'jagung', 'penggunaan', 'bibit', 'hibrida', 'pupuk', 'npk', 'meningkatkan', 'produksi', 'jagung']"
IMPLEMENTASI ALGORITMA RABIN KARP UNTUK SISTEM PENILAIAN OTOMATIS UJIAN ESAI PPKN,Ira Cahyaningtias,"Achmad Jauhari, S.T., M.Kom","Rika Yunitarini, S.T., M.T.",abstract proses pembelajaran jenis ujian pilihan ganda esai pengkoreksian esai susah dibandingkan pilihan ganda contohnya mata pelajaran ppkn siswa dikembangkan guru susah mengoreksi siswa mencocokkan kunci manual penelitian didapatkan sistem penilaian ujian otomatis membantu guru mencocokan kunci berdasarkan pengujian sistem metode rabin karp hasil perbandingan penilaian manual sistem penggunaan stemming mempengaruhi penilaian sistem penggunaan stemming menghasilkan nilai dibandingkan stemming nilai perbedaan diperoleh mencari nilai mutlak pengurangan penilaian manual penilaian sistem mencari ratanya perbedaan penilaian manual penilaian sistem stemming nilai perbedaan berkisar penulis menyimpulkan sistem penilaian esai membantu guru mengkoreksi ulangan siswanya, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['abstract', 'proses', 'pembelajaran', 'jenis', 'ujian', 'pilihan', 'ganda', 'esai', 'pengkoreksian', 'esai', 'susah', 'dibandingkan', 'pilihan', 'ganda', 'contohnya', 'mata', 'pelajaran', 'ppkn', 'siswa', 'dikembangkan', 'guru', 'susah', 'mengoreksi', 'siswa', 'mencocokkan', 'kunci', 'manual', 'penelitian', 'didapatkan', 'sistem', 'penilaian', 'ujian', 'otomatis', 'membantu', 'guru', 'mencocokan', 'kunci', 'berdasarkan', 'pengujian', 'sistem', 'metode', 'rabin', 'karp', 'hasil', 'perbandingan', 'penilaian', 'manual', 'sistem', 'penggunaan', 'stemming', 'mempengaruhi', 'penilaian', 'sistem', 'penggunaan', 'stemming', 'menghasilkan', 'nilai', 'dibandingkan', 'stemming', 'nilai', 'perbedaan', 'diperoleh', 'mencari', 'nilai', 'mutlak', 'pengurangan', 'penilaian', 'manual', 'penilaian', 'sistem', 'mencari', 'ratanya', 'perbedaan', 'penilaian', 'manual', 'penilaian', 'sistem', 'stemming', 'nilai', 'perbedaan', 'berkisar', 'penulis', 'menyimpulkan', 'sistem', 'penilaian', 'esai', 'membantu', 'guru', 'mengkoreksi', 'ulangan', 'siswanya']"
Pengembangan Aplikasi Pengelolaan Kuisioner Berbasis WEB,Arif Rahmadi,"Andharini dwi c, S.Kom., M.Kom","Fika Hastarita Rachman,S.T.,M.Eng",teknologi informasi mempengaruhi sistem informasi memiliki pengaruh kehidupan sehari gaya hidup berubah seiring produk produk teknologi informasi menjamur media informasi komunikasi berkembang pesat tiada henti perkembangan informasi jaringan internet salah satunya pengisian kuisioner memudahkan pengambilan keputusan peneliti pengembangan kuisioner berbasis web penelitian peneliti mengembangan kuisioner peneliti bahasa pemrograman php database mysql pembuatan aplikasi langkah peneliti merancang aplikasi conceptual data modelling cdm physical data modelling pdm menuangkan bahasa pemrograman editor notepad pengambilan keputusan peminatan bidang aplikasi kuisioner berbasis web memiliki tingkat keakuratan dibandingkan kuisioner manual sistem proses pengambilan keputusan cepat data segara ditangani sistemkata kunci kuisoner berbasis web manual, Jurusan Teknik Informatika,RPL,"['teknologi', 'informasi', 'mempengaruhi', 'sistem', 'informasi', 'memiliki', 'pengaruh', 'kehidupan', 'sehari', 'gaya', 'hidup', 'berubah', 'seiring', 'produk', 'produk', 'teknologi', 'informasi', 'menjamur', 'media', 'informasi', 'komunikasi', 'berkembang', 'pesat', 'tiada', 'henti', 'perkembangan', 'informasi', 'jaringan', 'internet', 'salah', 'satunya', 'pengisian', 'kuisioner', 'memudahkan', 'pengambilan', 'keputusan', 'peneliti', 'pengembangan', 'kuisioner', 'berbasis', 'web', 'penelitian', 'peneliti', 'mengembangan', 'kuisioner', 'peneliti', 'bahasa', 'pemrograman', 'php', 'database', 'mysql', 'pembuatan', 'aplikasi', 'langkah', 'peneliti', 'merancang', 'aplikasi', 'conceptual', 'data', 'modelling', 'cdm', 'physical', 'data', 'modelling', 'pdm', 'menuangkan', 'bahasa', 'pemrograman', 'editor', 'notepad', 'pengambilan', 'keputusan', 'peminatan', 'bidang', 'aplikasi', 'kuisioner', 'berbasis', 'web', 'memiliki', 'tingkat', 'keakuratan', 'dibandingkan', 'kuisioner', 'manual', 'sistem', 'proses', 'pengambilan', 'keputusan', 'cepat', 'data', 'segara', 'ditangani', 'sistemkata', 'kunci', 'kuisoner', 'berbasis', 'web', 'manual']"
Perancangan user experience dan levelling pada game heroes of surabaya ,Benedictus Manggala,"Cucun Very Angkoso, S.T., M.T.","Yonathan Ferry Hendrawan, S.T,. MIT.",varian game memiliki user experience desain levelling menarik ciri tersendiri game rancangan user experiene game memiliki hasil maksimal memakai perangkat smartphone android memiliki pengguna riset kepuasan pengguna indikator produk game masuk pasaran target pasaran jenis game action platformer jenis game cocok tema sejarah kemerdekaan indonesia tugas berisi user experience levelling game action platformer heroes of surabaya completionism extended play time curiousity collection simplicity tempting challenge integrated theme jenis jenis user experience game teori user experience dipakai survei attention importance arousal impressed challenge enjoy hasil survei orang nilai pengalaman pengguna skala likert ditemukan pernyataan valid pernyataan reliabel kuisioner hasil penelitian kuisioner user experience memadai nilai cronbach alpha responden bersemangat aktif bermain berdasarkan nilai arousal indikator, Jurusan Teknik Informatika,RPL,"['varian', 'game', 'memiliki', 'user', 'experience', 'desain', 'levelling', 'menarik', 'ciri', 'tersendiri', 'game', 'rancangan', 'user', 'experiene', 'game', 'memiliki', 'hasil', 'maksimal', 'memakai', 'perangkat', 'smartphone', 'android', 'memiliki', 'pengguna', 'riset', 'kepuasan', 'pengguna', 'indikator', 'produk', 'game', 'masuk', 'pasaran', 'target', 'pasaran', 'jenis', 'game', 'action', 'platformer', 'jenis', 'game', 'cocok', 'tema', 'sejarah', 'kemerdekaan', 'indonesia', 'tugas', 'berisi', 'user', 'experience', 'levelling', 'game', 'action', 'platformer', 'heroes', 'of', 'surabaya', 'completionism', 'extended', 'play', 'time', 'curiousity', 'collection', 'simplicity', 'tempting', 'challenge', 'integrated', 'theme', 'jenis', 'jenis', 'user', 'experience', 'game', 'teori', 'user', 'experience', 'dipakai', 'survei', 'attention', 'importance', 'arousal', 'impressed', 'challenge', 'enjoy', 'hasil', 'survei', 'orang', 'nilai', 'pengalaman', 'pengguna', 'skala', 'likert', 'ditemukan', 'pernyataan', 'valid', 'pernyataan', 'reliabel', 'kuisioner', 'hasil', 'penelitian', 'kuisioner', 'user', 'experience', 'memadai', 'nilai', 'cronbach', 'alpha', 'responden', 'bersemangat', 'aktif', 'bermain', 'berdasarkan', 'nilai', 'arousal', 'indikator']"
PERINGKASAN TEKS OTOMATIS UNTUK BAHASA INDONESIA BERBASIS NATURAL LANGUAGE PROCESSING DAN JARINGAN SYARAF TIRUAN,Nur Fadhilah,"Hermawan,S.T.,M.Kom","Firdaus Solihin, S.Kom.,M.Kom",peringkasan teks otomatis salah bidang information retrieval ir menawarkan solusi mencari informasi dokumen peringkasan teks dokumen tersimpan didalam database overload retrieval cepat implementasi peringkasan teks otomatis hasil nilai akurasinya rendah penelitian dikembangkan aplikasi peringkasan teks otomatis berbahasa indonesia berbasis natural language processing jaringan syaraf tiruan metode single layer perceptron slp metode pembelajaran terbimbing jst slp dipilih salah bentuk jst sederhana nilai threshold slp dilatih sistem otomatis menentukan kalimat dijadikan ringkasan perhitungan bobot term berdasar prinsip tf idf klasifikasi nlp bias nominal verbal adjectiv adverb numerik hasilnya diklasifikasikan kalimat proses evaluasi dihitung berdasarkan teks diringkas ahli tata bahasa indonesia majority opinion hasil penelitian nilai precision nilai recall nilai f measures nilai accuracy, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['peringkasan', 'teks', 'otomatis', 'salah', 'bidang', 'information', 'retrieval', 'ir', 'menawarkan', 'solusi', 'mencari', 'informasi', 'dokumen', 'peringkasan', 'teks', 'dokumen', 'tersimpan', 'didalam', 'database', 'overload', 'retrieval', 'cepat', 'implementasi', 'peringkasan', 'teks', 'otomatis', 'hasil', 'nilai', 'akurasinya', 'rendah', 'penelitian', 'dikembangkan', 'aplikasi', 'peringkasan', 'teks', 'otomatis', 'berbahasa', 'indonesia', 'berbasis', 'natural', 'language', 'processing', 'jaringan', 'syaraf', 'tiruan', 'metode', 'single', 'layer', 'perceptron', 'slp', 'metode', 'pembelajaran', 'terbimbing', 'jst', 'slp', 'dipilih', 'salah', 'bentuk', 'jst', 'sederhana', 'nilai', 'threshold', 'slp', 'dilatih', 'sistem', 'otomatis', 'menentukan', 'kalimat', 'dijadikan', 'ringkasan', 'perhitungan', 'bobot', 'term', 'berdasar', 'prinsip', 'tf', 'idf', 'klasifikasi', 'nlp', 'bias', 'nominal', 'verbal', 'adjectiv', 'adverb', 'numerik', 'hasilnya', 'diklasifikasikan', 'kalimat', 'proses', 'evaluasi', 'dihitung', 'berdasarkan', 'teks', 'diringkas', 'ahli', 'tata', 'bahasa', 'indonesia', 'majority', 'opinion', 'hasil', 'penelitian', 'nilai', 'precision', 'nilai', 'recall', 'nilai', 'f', 'measures', 'nilai', 'accuracy']"
RANCANG BANGUN SISTEM INFORMASI AKADEMIK SEKOLAH BERBASIS WEB (Studi Kasus : SMP PAWIYATAN SURABAYA),HANIFAH PUTRI PRIWANDIYANTI,"Bain KhusnulKhotimah, ST., M.Kom.","Sigit Susanto P,S.Kom.,M.Kom.",sistem informasi akademik sekolah sistem dirancang kebutuhan pengelolaan data akademik penerapan teknologi komputer bertujuan informasi berkaitan akademik sekolah smp pawiyatan salah sekolah swasta surabaya memiliki aplikasi terkomputerisasi terancang pengelolaan data akademik pengelolaan data akademik smp pawiyatan excel data akademik dicatat pengelolaan sistem manual smp pawiyatan surabaya mengalami pengerjaan efektif efisien pencarian data guru siswa nilai akademik siswa sekolah mencari persatu arsip tersimpan penelitian peneliti merancang sistem informasi akademik sekolah berbasis web studi sistem dilaksanakan smp pawiyatan surabaya permasalahan metode penelitian mebuat perancangan sistem informasi akademik berbasis web metode waterfall meliputi analysis design coding testing penelitian diharapkan membantu sekolah pengelolaan data data akademik efektif efisien informasi siswa guru wali kelas berkaitan informasi akademik langsung bersangkutan, Jurusan Teknik Informatika,RPL,"['sistem', 'informasi', 'akademik', 'sekolah', 'sistem', 'dirancang', 'kebutuhan', 'pengelolaan', 'data', 'akademik', 'penerapan', 'teknologi', 'komputer', 'bertujuan', 'informasi', 'berkaitan', 'akademik', 'sekolah', 'smp', 'pawiyatan', 'salah', 'sekolah', 'swasta', 'surabaya', 'memiliki', 'aplikasi', 'terkomputerisasi', 'terancang', 'pengelolaan', 'data', 'akademik', 'pengelolaan', 'data', 'akademik', 'smp', 'pawiyatan', 'excel', 'data', 'akademik', 'dicatat', 'pengelolaan', 'sistem', 'manual', 'smp', 'pawiyatan', 'surabaya', 'mengalami', 'pengerjaan', 'efektif', 'efisien', 'pencarian', 'data', 'guru', 'siswa', 'nilai', 'akademik', 'siswa', 'sekolah', 'mencari', 'persatu', 'arsip', 'tersimpan', 'penelitian', 'peneliti', 'merancang', 'sistem', 'informasi', 'akademik', 'sekolah', 'berbasis', 'web', 'studi', 'sistem', 'dilaksanakan', 'smp', 'pawiyatan', 'surabaya', 'permasalahan', 'metode', 'penelitian', 'mebuat', 'perancangan', 'sistem', 'informasi', 'akademik', 'berbasis', 'web', 'metode', 'waterfall', 'meliputi', 'analysis', 'design', 'coding', 'testing', 'penelitian', 'diharapkan', 'membantu', 'sekolah', 'pengelolaan', 'data', 'data', 'akademik', 'efektif', 'efisien', 'informasi', 'siswa', 'guru', 'wali', 'kelas', 'berkaitan', 'informasi', 'akademik', 'langsung', 'bersangkutan']"
RANCANG BANGUN SISTEM INFORMASI POSYANDU DENGAN FEA  FRAMEWORK,Roychatul Mualifah,"Bain Khusnul Khotimah, ST., S.Kom","Sigit Susanto Putro, S.Kom., M.Kom",posyandu kelurahan kebalandono salah bentuk kesehatan berbasis masyarakat kesehatan anak kegiatan kader posyandu pengolahan data posyandu bersifat manual pencatatan pelaporan pelaya sistem informasi posyandu bersifat manual dikembangkan sistem terkomputerisasi pembuatan sistem diharapkan membantu kinerja petugas posyandu administrasi pelaporan posyandu informasi dihasilkan sistem informasi posyandu laporan pelaya posyandu meliputi laporan balita laporan laporan imunisasi laporan vitamin a laporan status gizi pembuatan sistem informasi framework langkah kerja penelitian framework fea panduan perencanaan pembuatan sistem informasi fea framework framework menganalisa desain target desain dicapai penelitian dihasilkan sistem informasi posyandu kelurahan kebalandono kepuasaan user mencapai, Jurusan Teknik Informatika,RPL,"['posyandu', 'kelurahan', 'kebalandono', 'salah', 'bentuk', 'kesehatan', 'berbasis', 'masyarakat', 'kesehatan', 'anak', 'kegiatan', 'kader', 'posyandu', 'pengolahan', 'data', 'posyandu', 'bersifat', 'manual', 'pencatatan', 'pelaporan', 'pelaya', 'sistem', 'informasi', 'posyandu', 'bersifat', 'manual', 'dikembangkan', 'sistem', 'terkomputerisasi', 'pembuatan', 'sistem', 'diharapkan', 'membantu', 'kinerja', 'petugas', 'posyandu', 'administrasi', 'pelaporan', 'posyandu', 'informasi', 'dihasilkan', 'sistem', 'informasi', 'posyandu', 'laporan', 'pelaya', 'posyandu', 'meliputi', 'laporan', 'balita', 'laporan', 'laporan', 'imunisasi', 'laporan', 'vitamin', 'a', 'laporan', 'status', 'gizi', 'pembuatan', 'sistem', 'informasi', 'framework', 'langkah', 'kerja', 'penelitian', 'framework', 'fea', 'panduan', 'perencanaan', 'pembuatan', 'sistem', 'informasi', 'fea', 'framework', 'framework', 'menganalisa', 'desain', 'target', 'desain', 'dicapai', 'penelitian', 'dihasilkan', 'sistem', 'informasi', 'posyandu', 'kelurahan', 'kebalandono', 'kepuasaan', 'user', 'mencapai']"
RANCANG BANGUN SISTEM INFORMASI PUSKESMAS BERBASIS FEAF (Studi Kasus : Puskemas Teja, Pamekasan),Dewi Kartika Apriliani,"Bain Khusnul Khotimah, S.T., M. Kom",sigit susanto putro s kom m kom,"Puskesmas Teja merupakan inti pelayanan kesehatan yang berada di Kabupaten Pamekasan. Pengolahan data di puskesmas ini masih bersifat manual. Dengan banyaknya jumlah pasien yang berkunjung, puskesmas ini membutuhkan waktu lama dalam pencarian data pasien. Karena itu, puskesmas ini membutuhkan sistem informasi untuk melakukan pemrosesan data yang terdiri dari data registrasi pasien, data pasien poli gigi, data pasien poli umum, data poli KIA, data pasien LAB, dan data obat.  Pada Penelitian ini akan dibahas mengenai sistem informasi puskesmas yang akan digunakan puskesmas Teja. Untuk membangun sistem informasi ini diperlukan framework atau langkah kerja. Framework adalah kumpulan script yang dapat membantu programmer dalam menangani berbagai masalah-masalah dalam pemograman. Dalam penelitian ini akan digunakan framework FEA. Dimana framework ini menganalisa desain saat ini dan target desain yang ingin dicapai. FEAF memiliki empat komponen utama yaitu : arsitektur bisnis, arsitektur  data, arsitektur aplikasi dan arsitektur teknologi.  Pada akhir penelitian ini dihasilkan sebuah sistem informasi yang nantinya dapat membantu pihak Puskesmas dalam pengolahan data pasien. Berdasarkan hasil uji coba sistem kepada petugas puskesmas diperoleh persentase sebanyak 24% sangat setuju, 73%  setuju, dan 2%  tidak setuju baik dari segi interaksi pengguna dengan sistem, kecepatan dan kemudahan akses informasi serta kepuasan user dalam menggunakan sistem informasi.",RPL,"['sigit', 'susanto', 'putro', 's', 'kom', 'm', 'kom']"
RANCANG BANGUN SISTEM INFORMASI DAN FORECASTING KEUANGANSEKOLAH MENGGUNAKAN METODE EXPONENTIAL SMOOTHING (Studi Kasus Lembaga Pendidikan Islam Al Haromain),Moh. Iwan Purwanto,"Hermawan, S.T.,M.Kom.","Sigit Susanto P, S.Kom.,M.Kom.",lembaga sekolah perekapan administrasi keuangan merekasecara konvensional halnya lembaga pendidikan islam al haromain yangmasih excel proses administasi keuangan kegiatan membuatproses administrasi efektif efisien sistem informasikeuangan sekolah solusi permasalahan sistem informasi keuangan sekolah megani proses proses pengolahan keuangansekolah meliputi transaksi penerimaan pengeluaran sedangakan membantudalam kebijakan keuangan sistem informasi keuangan sekolah dilengkapi fiturforecasting memprediksi penerimaan pengeluaran saldo lembagadalam metode proses forecasting metode exponential smoothing metode memiliki kemampuan proses prediksi dikarenakanmetode memiliki nilai parameter pengaruh hasilprediksi kunci forecasting exponential smoothing keuangan sekolah sistem informasikeuangan sekolah, Jurusan Teknik Informatika,RPL,"['lembaga', 'sekolah', 'perekapan', 'administrasi', 'keuangan', 'merekasecara', 'konvensional', 'halnya', 'lembaga', 'pendidikan', 'islam', 'al', 'haromain', 'yangmasih', 'excel', 'proses', 'administasi', 'keuangan', 'kegiatan', 'membuatproses', 'administrasi', 'efektif', 'efisien', 'sistem', 'informasikeuangan', 'sekolah', 'solusi', 'permasalahan', 'sistem', 'informasi', 'keuangan', 'sekolah', 'megani', 'proses', 'proses', 'pengolahan', 'keuangansekolah', 'meliputi', 'transaksi', 'penerimaan', 'pengeluaran', 'sedangakan', 'membantudalam', 'kebijakan', 'keuangan', 'sistem', 'informasi', 'keuangan', 'sekolah', 'dilengkapi', 'fiturforecasting', 'memprediksi', 'penerimaan', 'pengeluaran', 'saldo', 'lembagadalam', 'metode', 'proses', 'forecasting', 'metode', 'exponential', 'smoothing', 'metode', 'memiliki', 'kemampuan', 'proses', 'prediksi', 'dikarenakanmetode', 'memiliki', 'nilai', 'parameter', 'pengaruh', 'hasilprediksi', 'kunci', 'forecasting', 'exponential', 'smoothing', 'keuangan', 'sekolah', 'sistem', 'informasikeuangan', 'sekolah']"
RANCANG BANGUN SISTEM INFORMASI PEMBAYARAN SPP BERBASIS WEB  (STUDI KASUS di SMKN 1 SAMPANG),Nor Eka Muliana AK,"Bain Khusnul Khotimah, ST., M.Kom","Rika Yunitarini, ST., MT",sistem informasi pembayaran spp sekolah sistem dirancang kebutuhan pengelolaan data pembayaran spp penerapan teknologi komputer bertujuan mempermudah pekerjaan petugas bank mini smkn sampang salah sekolah negeri sampang memiliki sistem terancang pengelolaan data pembayaran spp pengelolaan data pembeyaran spp smkn sampang menggunkan buku pencatatan pengelolaan sistem manual smkn sampang mengalami pengerjaan efektif efisien sekolah mencari persatu arsip tersimpan pengawasan pembayaran spp sekolah maksimal sekolah terkadang telat siswa siswi pembayaran spp penelitian peneliti merancang sistem informasi pembayaran spp sekolah berbasis web studi sistem dilaksanakan smkn sampang permasalahan penelitian diharapkan membantu sekolah pengelolaan data data akademik efektif efisien, Jurusan Teknik Informatika,RPL,"['sistem', 'informasi', 'pembayaran', 'spp', 'sekolah', 'sistem', 'dirancang', 'kebutuhan', 'pengelolaan', 'data', 'pembayaran', 'spp', 'penerapan', 'teknologi', 'komputer', 'bertujuan', 'mempermudah', 'pekerjaan', 'petugas', 'bank', 'mini', 'smkn', 'sampang', 'salah', 'sekolah', 'negeri', 'sampang', 'memiliki', 'sistem', 'terancang', 'pengelolaan', 'data', 'pembayaran', 'spp', 'pengelolaan', 'data', 'pembeyaran', 'spp', 'smkn', 'sampang', 'menggunkan', 'buku', 'pencatatan', 'pengelolaan', 'sistem', 'manual', 'smkn', 'sampang', 'mengalami', 'pengerjaan', 'efektif', 'efisien', 'sekolah', 'mencari', 'persatu', 'arsip', 'tersimpan', 'pengawasan', 'pembayaran', 'spp', 'sekolah', 'maksimal', 'sekolah', 'terkadang', 'telat', 'siswa', 'siswi', 'pembayaran', 'spp', 'penelitian', 'peneliti', 'merancang', 'sistem', 'informasi', 'pembayaran', 'spp', 'sekolah', 'berbasis', 'web', 'studi', 'sistem', 'dilaksanakan', 'smkn', 'sampang', 'permasalahan', 'penelitian', 'diharapkan', 'membantu', 'sekolah', 'pengelolaan', 'data', 'data', 'akademik', 'efektif', 'efisien']"
RANCANG BANGUN SISTEM INFORMASI PENJAMINAN MUTU AKADEMIK TINGKAT FAKULTAS BERBASIS WEB(STUDI KASUS: FAKULTAS TEKNIK UNIVERSITAS TRUNOJOYO MADURA),Dian Ayu Susetiyo,"Andharini Dwi Cahyani, S.Kom., M.Kom","M. Fuad, S.Kom., M.T",penjami mutu perguruan proses perencanaan pemenuhan pengendalian pengembangan standar pendidikan konsisten berkelanjutan pemangku kepentingan internal eksternal perguruan mahasiswa dosen karyawan masyarakat dunia usaha asosiasi profesi pemerintah memperoleh kepuasan kinerja keluaran perguruan tugas bertujuan tingkat kepuasan mahasiswa berdasarkan kuesioner ditentukan tim penjami mutu fakultas teknik universitas trunojoyodalam tingkat kepuasan mahasiswa skala deskriptif skala likert sistem memiliki kemampuan mengambil data input kuesioner pegajaran dosen praktikum administratif fasilitas kuliah tamu workshop pengguna sistem mahasiswa dosen dimana mahasiswa mengisi kuesioner dosen nilai dhasilkan kuesioner diisi mahasiswa penelitian objek penelitian fakultas teknik universitas trunojoyo madura hasil uji fungsionalitas didapatkan hasil penilaian pengujian masuk kriteria pengujian kuesioner sampel responeden jurusan fakultas teknik memiliki nilai diatas, Jurusan Teknik Informatika,RPL,"['penjami', 'mutu', 'perguruan', 'proses', 'perencanaan', 'pemenuhan', 'pengendalian', 'pengembangan', 'standar', 'pendidikan', 'konsisten', 'berkelanjutan', 'pemangku', 'kepentingan', 'internal', 'eksternal', 'perguruan', 'mahasiswa', 'dosen', 'karyawan', 'masyarakat', 'dunia', 'usaha', 'asosiasi', 'profesi', 'pemerintah', 'memperoleh', 'kepuasan', 'kinerja', 'keluaran', 'perguruan', 'tugas', 'bertujuan', 'tingkat', 'kepuasan', 'mahasiswa', 'berdasarkan', 'kuesioner', 'ditentukan', 'tim', 'penjami', 'mutu', 'fakultas', 'teknik', 'universitas', 'trunojoyodalam', 'tingkat', 'kepuasan', 'mahasiswa', 'skala', 'deskriptif', 'skala', 'likert', 'sistem', 'memiliki', 'kemampuan', 'mengambil', 'data', 'input', 'kuesioner', 'pegajaran', 'dosen', 'praktikum', 'administratif', 'fasilitas', 'kuliah', 'tamu', 'workshop', 'pengguna', 'sistem', 'mahasiswa', 'dosen', 'dimana', 'mahasiswa', 'mengisi', 'kuesioner', 'dosen', 'nilai', 'dhasilkan', 'kuesioner', 'diisi', 'mahasiswa', 'penelitian', 'objek', 'penelitian', 'fakultas', 'teknik', 'universitas', 'trunojoyo', 'madura', 'hasil', 'uji', 'fungsionalitas', 'didapatkan', 'hasil', 'penilaian', 'pengujian', 'masuk', 'kriteria', 'pengujian', 'kuesioner', 'sampel', 'responeden', 'jurusan', 'fakultas', 'teknik', 'memiliki', 'nilai', 'diatas']"
Rancang Bangun Game Save The Madura Island untuk Pengenalan Budaya Madura Berbasis Mobile Android,Nurul Hidayat,"Cucun Very Angkoso, ST., MT,","Ari Kusumaningsih, ST., MT,",abstrak pembuatan game save the madura island bertujuan melestarikan budaya lokal khusunya budaya madura orang tinggalkan perkembangan teknologi pesat pengenalan budaya berbasis game diharapkan menarik minat masyarakat mengenal budaya budaya lokal ciri khas bangsa game save the madura island game strategi mengangkat tema budaya madura user mempelajari budaya madura seg memainkan game game save the madura island algoritma greedy kecerdasan buatan terletak karakter defense berfungsi membantu karakter defense menentukan enemy efektif diserang game save the madura island dijalankan diberbagai device android jenis os berbeda beda penggunaan algoritma greedy game save the madura island membantu mengurangi enemy lolos penggunaan algoritma greedy game save the madura island membantu user mempertahankan life kunci game madura tower defense algoritma greedy, Jurusan Teknik Informatika,RPL,"['abstrak', 'pembuatan', 'game', 'save', 'the', 'madura', 'island', 'bertujuan', 'melestarikan', 'budaya', 'lokal', 'khusunya', 'budaya', 'madura', 'orang', 'tinggalkan', 'perkembangan', 'teknologi', 'pesat', 'pengenalan', 'budaya', 'berbasis', 'game', 'diharapkan', 'menarik', 'minat', 'masyarakat', 'mengenal', 'budaya', 'budaya', 'lokal', 'ciri', 'khas', 'bangsa', 'game', 'save', 'the', 'madura', 'island', 'game', 'strategi', 'mengangkat', 'tema', 'budaya', 'madura', 'user', 'mempelajari', 'budaya', 'madura', 'seg', 'memainkan', 'game', 'game', 'save', 'the', 'madura', 'island', 'algoritma', 'greedy', 'kecerdasan', 'buatan', 'terletak', 'karakter', 'defense', 'berfungsi', 'membantu', 'karakter', 'defense', 'menentukan', 'enemy', 'efektif', 'diserang', 'game', 'save', 'the', 'madura', 'island', 'dijalankan', 'diberbagai', 'device', 'android', 'jenis', 'os', 'berbeda', 'beda', 'penggunaan', 'algoritma', 'greedy', 'game', 'save', 'the', 'madura', 'island', 'membantu', 'mengurangi', 'enemy', 'lolos', 'penggunaan', 'algoritma', 'greedy', 'game', 'save', 'the', 'madura', 'island', 'membantu', 'user', 'mempertahankan', 'life', 'kunci', 'game', 'madura', 'tower', 'defense', 'algoritma', 'greedy']"
