Judul,Nama Penulis,Pembimbing I,Pembimbing II,Abstrak,Prodi,Label,abstrak_tokens
RANCANG BANGUN SISTEM PENGAWASAN PERILAKU USER PADA KOMPUTER BERBASIS MOBILE ANDROID,Mochammad Firdias Fasa Dien,"Cucun Very Angkoso, ST., MT.","Dwi Kuswanto, S.Pd., MT.",marak akses situs pornografi indonesia khawatir butuh akses internet dewasa kembang internet akses situs situs pornografi khawatir ironis akses situs pornografi memprihatikan kalang anak anak awas anak guna internet tingkat squid perangkat lunak monitor jaring tindak jaring aplikasi jalan realtime otomatis teliti ancang sistem awas lintas jaring guna komputer squid keylogger kombinasi agen squid catat akses internet keylogger catat keti komputer bantu agen informasi squid keylogger kirim database server lapor agen kirim database server akses aplikasi perangkat mobile sistem operasi android uji coba akses koneksi internet cari unjung halaman web aplikasi agen baca kirim informasi dalam database server kombinasi perintah squid, Jurusan Teknik Informatika,RPL,"['marak', 'akses', 'situs', 'pornografi', 'indonesia', 'khawatir', 'butuh', 'akses', 'internet', 'dewasa', 'kembang', 'internet', 'akses', 'situs', 'situs', 'pornografi', 'khawatir', 'ironis', 'akses', 'situs', 'pornografi', 'memprihatikan', 'kalang', 'anak', 'anak', 'awas', 'anak', 'guna', 'internet', 'tingkat', 'squid', 'perangkat', 'lunak', 'monitor', 'jaring', 'tindak', 'jaring', 'aplikasi', 'jalan', 'realtime', 'otomatis', 'teliti', 'ancang', 'sistem', 'awas', 'lintas', 'jaring', 'guna', 'komputer', 'squid', 'keylogger', 'kombinasi', 'agen', 'squid', 'catat', 'akses', 'internet', 'keylogger', 'catat', 'keti', 'komputer', 'bantu', 'agen', 'informasi', 'squid', 'keylogger', 'kirim', 'database', 'server', 'lapor', 'agen', 'kirim', 'database', 'server', 'akses', 'aplikasi', 'perangkat', 'mobile', 'sistem', 'operasi', 'android', 'uji', 'coba', 'akses', 'koneksi', 'internet', 'cari', 'unjung', 'halaman', 'web', 'aplikasi', 'agen', 'baca', 'kirim', 'informasi', 'dalam', 'database', 'server', 'kombinasi', 'perintah', 'squid']"
PERANCANGAN SISTEM MONITORING AKTIF BERBASIS ANDROID PADA INTRUSION PREVENTION SYSTEM (IPS) SURICATA,Kholiq,"Cucun Very Angkoso, S.T., M.T.","Dwi Kuswanto, S.Pd., M.T.",intrusion prevention system ips sistem terap awas jaring ama server salah sistem ips ips suricata terkadang administrator jaring ips suricata administrator jaring alami sulit awas butuh perangkat awas realtime alert ips suricata deteksi serang android sistem operasi bas linux kembang perangkat smartphone tablet teliti sistem monitoring bangun perangkat bas android serang monitoring agent ips suricata blokir serang kirim informasi serang web server notification perangkat android sistem monitoring bangun monitoring ips suricata uji coba kali serang port scanning nmap superscan sql injection havij vulnerability web scanner nikto bukti aplikasi monitoring agent kombinasi ips suricata iptables deteksi blokir serang monitoring agent kirim informasi serang web server terima android client notification, Jurusan Teknik Informatika,RPL,"['intrusion', 'prevention', 'system', 'ips', 'sistem', 'terap', 'awas', 'jaring', 'ama', 'server', 'salah', 'sistem', 'ips', 'ips', 'suricata', 'terkadang', 'administrator', 'jaring', 'ips', 'suricata', 'administrator', 'jaring', 'alami', 'sulit', 'awas', 'butuh', 'perangkat', 'awas', 'realtime', 'alert', 'ips', 'suricata', 'deteksi', 'serang', 'android', 'sistem', 'operasi', 'bas', 'linux', 'kembang', 'perangkat', 'smartphone', 'tablet', 'teliti', 'sistem', 'monitoring', 'bangun', 'perangkat', 'bas', 'android', 'serang', 'monitoring', 'agent', 'ips', 'suricata', 'blokir', 'serang', 'kirim', 'informasi', 'serang', 'web', 'server', 'notification', 'perangkat', 'android', 'sistem', 'monitoring', 'bangun', 'monitoring', 'ips', 'suricata', 'uji', 'coba', 'kali', 'serang', 'port', 'scanning', 'nmap', 'superscan', 'sql', 'injection', 'havij', 'vulnerability', 'web', 'scanner', 'nikto', 'bukti', 'aplikasi', 'monitoring', 'agent', 'kombinasi', 'ips', 'suricata', 'iptables', 'deteksi', 'blokir', 'serang', 'monitoring', 'agent', 'kirim', 'informasi', 'serang', 'web', 'server', 'terima', 'android', 'client', 'notification']"
SISTEM INFORMASI PANGKALAN DATA BERBASIS AKREDITASI UNIVERSITAS TRUNOJOYO MADURA,Moch. Nasrul Ulum,"Dr. Arif Muntasa, S.Si., MT.","Moch. Kautsar Sophan, S.Kom., M.MT.",akreditasi program studi sarjana proses evaluasi kala badan milik kewegan ban pt laksana proses susu borang akreditasi program studi lepas organisasi peran kelola suplai data butuh borang akreditasi data program studi proses susu borang akreditasi data historis kumpul kala gambar informasi giat proses kumpul sebar data data organisasi sumber daya sebentar sistem program studi universitas trunojoyo madura kumpul data historis akreditasi cari kumpul catat data daftar pisah komputerisasi maksimal pusat maksimal kelola manajemen data kembang sistem himpun data sistem informasi pangkal data bas akreditasi universitas trunojoyo madura, Jurusan Teknik Informatika,RPL,"['akreditasi', 'program', 'studi', 'sarjana', 'proses', 'evaluasi', 'kala', 'badan', 'milik', 'kewegan', 'ban', 'pt', 'laksana', 'proses', 'susu', 'borang', 'akreditasi', 'program', 'studi', 'lepas', 'organisasi', 'peran', 'kelola', 'suplai', 'data', 'butuh', 'borang', 'akreditasi', 'data', 'program', 'studi', 'proses', 'susu', 'borang', 'akreditasi', 'data', 'historis', 'kumpul', 'kala', 'gambar', 'informasi', 'giat', 'proses', 'kumpul', 'sebar', 'data', 'data', 'organisasi', 'sumber', 'daya', 'sebentar', 'sistem', 'program', 'studi', 'universitas', 'trunojoyo', 'madura', 'kumpul', 'data', 'historis', 'akreditasi', 'cari', 'kumpul', 'catat', 'data', 'daftar', 'pisah', 'komputerisasi', 'maksimal', 'pusat', 'maksimal', 'kelola', 'manajemen', 'data', 'kembang', 'sistem', 'himpun', 'data', 'sistem', 'informasi', 'pangkal', 'data', 'bas', 'akreditasi', 'universitas', 'trunojoyo', 'madura']"
SISTEM BISNIS CERDAS (INTELLIGENT E-BUSINESS) INDUSTRI BATIK BANGKALAN dengan MENGGUNAKAN K-MEANS CLUSTERING,Mukholifatus Sa'adah,"Bain Khusnul Khotimah, ST.,M.Kom.","Achmad Jauhari, ST., M.Kom.",industri batik indonesia industri tengah mata cahari bagai masyarakat kembang bisnis online indonesia kembang pesat salah industri batik indonesia industri batik bangkal industri batik bangkal jual sistem online sistem online produsen jalan olah data dukung jual produsen produsen sistem jual online komunikasi konsumen akibat efektif sistem online produsen milik konsumen habis pilih produk butuh cocok salah atas sistem bisnis cerdas intelligent e businnes industri bangkal web mining salah web mining metode k means clustering metode k means clustering kelompok produk sesuai sama data produk hitung jarak beda rumus euclidean bantu beli putus rekomendasi item item produk batik baik dasar preferensi beli, Jurusan Teknik Informatika,RPL,"['industri', 'batik', 'indonesia', 'industri', 'tengah', 'mata', 'cahari', 'bagai', 'masyarakat', 'kembang', 'bisnis', 'online', 'indonesia', 'kembang', 'pesat', 'salah', 'industri', 'batik', 'indonesia', 'industri', 'batik', 'bangkal', 'industri', 'batik', 'bangkal', 'jual', 'sistem', 'online', 'sistem', 'online', 'produsen', 'jalan', 'olah', 'data', 'dukung', 'jual', 'produsen', 'produsen', 'sistem', 'jual', 'online', 'komunikasi', 'konsumen', 'akibat', 'efektif', 'sistem', 'online', 'produsen', 'milik', 'konsumen', 'habis', 'pilih', 'produk', 'butuh', 'cocok', 'salah', 'atas', 'sistem', 'bisnis', 'cerdas', 'intelligent', 'e', 'businnes', 'industri', 'bangkal', 'web', 'mining', 'salah', 'web', 'mining', 'metode', 'k', 'means', 'clustering', 'metode', 'k', 'means', 'clustering', 'kelompok', 'produk', 'sesuai', 'sama', 'data', 'produk', 'hitung', 'jarak', 'beda', 'rumus', 'euclidean', 'bantu', 'beli', 'putus', 'rekomendasi', 'item', 'item', 'produk', 'batik', 'baik', 'dasar', 'preferensi', 'beli']"
SISTEM REKOMENDASI PROGRAM STUDI PADA PERGURUAN TINGGI BAGI SISWA SMA DENGAN LOGIKA FUZZY TSUKAMOTO(Studi Kasus : SMA NEGERI 1 KAMAL),Esty Narulita Rahayuningtyas,"Achmad Jauhari, S.T., M.Kom","Rika Yunitarini, S.T., M.T",lanjut didik guru impi siswa lulus sma siswa pilih program studi guru sesuai mampu minat salah masuk program studi tes psikologi nilai mata ajar sma tunjang pilih program studi sistem rekomendasi pilih program studi timbang bobot tiap kriteria metode sistem rekomendasi logika fuzzy tsukamoto teliti kriteria kriteria akademik kriteria psikotes minat hasil output sistem rekomendasi program studi dasar uji akurasi data oleh hasil akurasi sistem rekomendasi pilih program studi mudah siswa putus program studi ambil kunci program studi logika fuzzy tsukamoto sistem rekomendasi, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['lanjut', 'didik', 'guru', 'impi', 'siswa', 'lulus', 'sma', 'siswa', 'pilih', 'program', 'studi', 'guru', 'sesuai', 'mampu', 'minat', 'salah', 'masuk', 'program', 'studi', 'tes', 'psikologi', 'nilai', 'mata', 'ajar', 'sma', 'tunjang', 'pilih', 'program', 'studi', 'sistem', 'rekomendasi', 'pilih', 'program', 'studi', 'timbang', 'bobot', 'tiap', 'kriteria', 'metode', 'sistem', 'rekomendasi', 'logika', 'fuzzy', 'tsukamoto', 'teliti', 'kriteria', 'kriteria', 'akademik', 'kriteria', 'psikotes', 'minat', 'hasil', 'output', 'sistem', 'rekomendasi', 'program', 'studi', 'dasar', 'uji', 'akurasi', 'data', 'oleh', 'hasil', 'akurasi', 'sistem', 'rekomendasi', 'pilih', 'program', 'studi', 'mudah', 'siswa', 'putus', 'program', 'studi', 'ambil', 'kunci', 'program', 'studi', 'logika', 'fuzzy', 'tsukamoto', 'sistem', 'rekomendasi']"
SISTEM PENDUKUNG KEPUTUSAN EVALUASI PENILAIAN PRESTASI BELAJAR SISWA MENGGUNAKAN METODE PAPRIKA DAN SMARTER,FAIZAL RAHMAN,"RIKA YUNITARINI, ST., MT.","ACHMAD JAUHARI, ST., M.Kom.",nilai milik tuju evaluasi tingkat nilai siswa prestasi evaluasi nilai prestasi ajar siswa jarang penginputan nilai manual smpn lenteng guru sulit analis siswa siswi siswa prestasi nilai nilai bagus mata ajar nilai akademik non akademik imbang tuju teliti aplikasi rangking hasil nilai prestasi ajar siswa buat sistem dukung putus dasar multi kriteria tetap sekolah studi kait multi kriteria model dalam metode paprika salah metode banding pasang alternatif pasang alternatif rangking sesuai prioritas kriteria metode smarter metode bobot kriteria rumus roc rank order centroid dasar tingkat prioritas kriteria hasil terap metode aplikasi ranking nilai prestasi ajar siswa mudah guru ambil putus evaluasi prestasi ajar siswa, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['nilai', 'milik', 'tuju', 'evaluasi', 'tingkat', 'nilai', 'siswa', 'prestasi', 'evaluasi', 'nilai', 'prestasi', 'ajar', 'siswa', 'jarang', 'penginputan', 'nilai', 'manual', 'smpn', 'lenteng', 'guru', 'sulit', 'analis', 'siswa', 'siswi', 'siswa', 'prestasi', 'nilai', 'nilai', 'bagus', 'mata', 'ajar', 'nilai', 'akademik', 'non', 'akademik', 'imbang', 'tuju', 'teliti', 'aplikasi', 'rangking', 'hasil', 'nilai', 'prestasi', 'ajar', 'siswa', 'buat', 'sistem', 'dukung', 'putus', 'dasar', 'multi', 'kriteria', 'tetap', 'sekolah', 'studi', 'kait', 'multi', 'kriteria', 'model', 'dalam', 'metode', 'paprika', 'salah', 'metode', 'banding', 'pasang', 'alternatif', 'pasang', 'alternatif', 'rangking', 'sesuai', 'prioritas', 'kriteria', 'metode', 'smarter', 'metode', 'bobot', 'kriteria', 'rumus', 'roc', 'rank', 'order', 'centroid', 'dasar', 'tingkat', 'prioritas', 'kriteria', 'hasil', 'terap', 'metode', 'aplikasi', 'ranking', 'nilai', 'prestasi', 'ajar', 'siswa', 'mudah', 'guru', 'ambil', 'putus', 'evaluasi', 'prestasi', 'ajar', 'siswa']"
SENTIMENT ANALYSIS TWEETS KEBIJAKAN PUBLIK BERBAHASA INDONESIA DENGAN METODE PRINCIPAL COMPONENT ANALYSIS DAN EXPECTATION MAXIMIZATION,Benik Ucista,"Mulaab, S.Si., M.Kom.","Moch. Kautsar Sophan, S.Kom., M.MT.",sentiment analysis teliti riset komputasional opini ekspresi tekstual klasifikasi dalam kelas sentimen positif negatif mana data opini akses media sosial twitter dasar query bijak publik bahasa indonesia sentiment analysis tinggi dimensi fitur gambar teks butuh principal component analysis reduksi dimensi principal component analysis strategi tuju tingkat kerja komputasi metode expectation maximization metode kembang naive bayes classifier klasifikasi metode expectation maximization tentu opini kelas positif negatif clustering expectation maximization megan atribut numerik nominal teliti tweets tekstual hasil klasifikasi expectation maximization banding data hasil asli data dapat kelas sentimen database mysql hasil teliti dapat skenario baik metode hasil klasifikasi tweets nilai precission recall accuracy kunci sentiment analysis query principal component analysis expectation maximization na ve bayes classifier clustering, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['sentiment', 'analysis', 'teliti', 'riset', 'komputasional', 'opini', 'ekspresi', 'tekstual', 'klasifikasi', 'dalam', 'kelas', 'sentimen', 'positif', 'negatif', 'mana', 'data', 'opini', 'akses', 'media', 'sosial', 'twitter', 'dasar', 'query', 'bijak', 'publik', 'bahasa', 'indonesia', 'sentiment', 'analysis', 'tinggi', 'dimensi', 'fitur', 'gambar', 'teks', 'butuh', 'principal', 'component', 'analysis', 'reduksi', 'dimensi', 'principal', 'component', 'analysis', 'strategi', 'tuju', 'tingkat', 'kerja', 'komputasi', 'metode', 'expectation', 'maximization', 'metode', 'kembang', 'naive', 'bayes', 'classifier', 'klasifikasi', 'metode', 'expectation', 'maximization', 'tentu', 'opini', 'kelas', 'positif', 'negatif', 'clustering', 'expectation', 'maximization', 'megan', 'atribut', 'numerik', 'nominal', 'teliti', 'tweets', 'tekstual', 'hasil', 'klasifikasi', 'expectation', 'maximization', 'banding', 'data', 'hasil', 'asli', 'data', 'dapat', 'kelas', 'sentimen', 'database', 'mysql', 'hasil', 'teliti', 'dapat', 'skenario', 'baik', 'metode', 'hasil', 'klasifikasi', 'tweets', 'nilai', 'precission', 'recall', 'accuracy', 'kunci', 'sentiment', 'analysis', 'query', 'principal', 'component', 'analysis', 'expectation', 'maximization', 'na', 've', 'bayes', 'classifier', 'clustering']"
IMPLEMENTASI DAN SIMULASI PERFORMANSI JARINGAN VLAN DI UNIVERSITAS TRUNOJOYO MADURA ,Artika frida nirmala,"Achmad ubaidillah MS. ST,MT","Dwi Kuswanto S,Pd , MT",sistem jaring komputer kompleks universitas trunojoyo madura faktor perhati bicara performansi jaring komputer analisa performansi hasil fakta kerja sistem jaring komputer administrator jaring tingkat sistem jaring komputer handal sesuai butuh guna teliti ukur performansi jaring langsung ukur kerja jaring komputer metode ukur langsung harap hasil data sifat real sesuai kondisi lapang simulasi network simulator rancang dekat kondisi kuat hasil analisa hasil teliti kerja jaring vlan utm total guna bandwidth capai batas maksimal capai overload kongesti hasil acu data nilai throughput linear kondisi ukur sepi sibuk kelompok kondisi sepi sibuk hasil ukur jaring capai overload akibat fluktuasi data hasil ukur faktor pengaruh hasil ukur langsung coba sibuk traffic spesifikasi device, Jurusan Teknik Informatika,RPL,"['sistem', 'jaring', 'komputer', 'kompleks', 'universitas', 'trunojoyo', 'madura', 'faktor', 'perhati', 'bicara', 'performansi', 'jaring', 'komputer', 'analisa', 'performansi', 'hasil', 'fakta', 'kerja', 'sistem', 'jaring', 'komputer', 'administrator', 'jaring', 'tingkat', 'sistem', 'jaring', 'komputer', 'handal', 'sesuai', 'butuh', 'guna', 'teliti', 'ukur', 'performansi', 'jaring', 'langsung', 'ukur', 'kerja', 'jaring', 'komputer', 'metode', 'ukur', 'langsung', 'harap', 'hasil', 'data', 'sifat', 'real', 'sesuai', 'kondisi', 'lapang', 'simulasi', 'network', 'simulator', 'rancang', 'dekat', 'kondisi', 'kuat', 'hasil', 'analisa', 'hasil', 'teliti', 'kerja', 'jaring', 'vlan', 'utm', 'total', 'guna', 'bandwidth', 'capai', 'batas', 'maksimal', 'capai', 'overload', 'kongesti', 'hasil', 'acu', 'data', 'nilai', 'throughput', 'linear', 'kondisi', 'ukur', 'sepi', 'sibuk', 'kelompok', 'kondisi', 'sepi', 'sibuk', 'hasil', 'ukur', 'jaring', 'capai', 'overload', 'akibat', 'fluktuasi', 'data', 'hasil', 'ukur', 'faktor', 'pengaruh', 'hasil', 'ukur', 'langsung', 'coba', 'sibuk', 'traffic', 'spesifikasi', 'device']"
SISTEM MONITORING SPBU MENGGUNAKAN ARDUINO,Wahedah,"Cucun Very Angkoso, ST., M.T","Koko Joni, ST., M.Eng",spbu salah salur bbm milik peran sistem kece level bbm spbu sederhana alat deteksi tangki besi kosong bbm kontrol tugas teliti selesai ancang simulasi sistem monitoring level bbm sensor nirkabel arduino tambah augmented reality ar aplikasi monitoring spbu mudah kendara mesindalam cari informasi spbu dekat manfaat teknologi augmented reality ar guna kamera gps perangkat android aplikasi informasi detail akurat nyata guna teliti guna teknologi jaring sensor nirkabel pengotrolan mantu jarak antara kabel fleksibilitas komunikasi jarak titik letak sensor tingkat akurasi terus real time, Jurusan Teknik Informatika,RPL,"['spbu', 'salah', 'salur', 'bbm', 'milik', 'peran', 'sistem', 'kece', 'level', 'bbm', 'spbu', 'sederhana', 'alat', 'deteksi', 'tangki', 'besi', 'kosong', 'bbm', 'kontrol', 'tugas', 'teliti', 'selesai', 'ancang', 'simulasi', 'sistem', 'monitoring', 'level', 'bbm', 'sensor', 'nirkabel', 'arduino', 'tambah', 'augmented', 'reality', 'ar', 'aplikasi', 'monitoring', 'spbu', 'mudah', 'kendara', 'mesindalam', 'cari', 'informasi', 'spbu', 'dekat', 'manfaat', 'teknologi', 'augmented', 'reality', 'ar', 'guna', 'kamera', 'gps', 'perangkat', 'android', 'aplikasi', 'informasi', 'detail', 'akurat', 'nyata', 'guna', 'teliti', 'guna', 'teknologi', 'jaring', 'sensor', 'nirkabel', 'pengotrolan', 'mantu', 'jarak', 'antara', 'kabel', 'fleksibilitas', 'komunikasi', 'jarak', 'titik', 'letak', 'sensor', 'tingkat', 'akurasi', 'terus', 'real', 'time']"
KLASTERING PENGGUNAAN JARINGAN BERBASIS PROTOKOL(Studi Kasus : Laboratorium Terpadu Teknik Informatika UTM),NIVI ELSANDY,"AERI RACHMAD, S.T., M.T.","DWI KUSWANTO, S.Pd., M.T.",laboratorium padu teknik informatika universitas trunojoyo madura milik jaring komputer hubung internet akses mahasiswa teknik informatika laboratorium komunikasi data milik protokol beda beda hari jaring komputer kontrol trafik komunikasi data jaring komputer sulit tentu kontrol tindak monitoring trafik jaring salah langkah tentu kontrol jaring komputer teliti teknik klastering k means hasil rekomendasi data guna jaring jadi langkah tentu tindak komunikasi data protokol laboratorium padu teknik informatika maksimal minimal guna jaring komunikasi data laboratorium padu teknik informatika bagi kelompok komunikasi data jaring laboratorium jaring laboratorium protokol lapis aplikasi komunikasi data perangkat jaring laboratorium protokol lapis aplikasi nilai guna tinggi laboratorium computation and artificial intelegence rendah laboratorium teknologi informasi aplikasi simpul optimalisasi guna jaring laboratorium sia nyiakan sumber daya, Jurusan Teknik Informatika,RPL,"['laboratorium', 'padu', 'teknik', 'informatika', 'universitas', 'trunojoyo', 'madura', 'milik', 'jaring', 'komputer', 'hubung', 'internet', 'akses', 'mahasiswa', 'teknik', 'informatika', 'laboratorium', 'komunikasi', 'data', 'milik', 'protokol', 'beda', 'beda', 'hari', 'jaring', 'komputer', 'kontrol', 'trafik', 'komunikasi', 'data', 'jaring', 'komputer', 'sulit', 'tentu', 'kontrol', 'tindak', 'monitoring', 'trafik', 'jaring', 'salah', 'langkah', 'tentu', 'kontrol', 'jaring', 'komputer', 'teliti', 'teknik', 'klastering', 'k', 'means', 'hasil', 'rekomendasi', 'data', 'guna', 'jaring', 'jadi', 'langkah', 'tentu', 'tindak', 'komunikasi', 'data', 'protokol', 'laboratorium', 'padu', 'teknik', 'informatika', 'maksimal', 'minimal', 'guna', 'jaring', 'komunikasi', 'data', 'laboratorium', 'padu', 'teknik', 'informatika', 'bagi', 'kelompok', 'komunikasi', 'data', 'jaring', 'laboratorium', 'jaring', 'laboratorium', 'protokol', 'lapis', 'aplikasi', 'komunikasi', 'data', 'perangkat', 'jaring', 'laboratorium', 'protokol', 'lapis', 'aplikasi', 'nilai', 'guna', 'tinggi', 'laboratorium', 'computation', 'and', 'artificial', 'intelegence', 'rendah', 'laboratorium', 'teknologi', 'informasi', 'aplikasi', 'simpul', 'optimalisasi', 'guna', 'jaring', 'laboratorium', 'sia', 'nyiakan', 'sumber', 'daya']"
Sistem Informasi Geografis Pengelolaan Manajemen Distribusi Air PDAM Kecamatan Rejoso Kabupaten Nganjuk,Astoko Yoga Saputro,"Mulaâab, S.Si.,M.Kom","Fika Hastarita R, S.T,.M.Eng",pdam usaha kelola butuh air masyarakat tugas utama hasil air layak kualitas kuantitas perancanaan butuh air bersih pdam hadap masalah masalah buat ketidakmampuan imbang butuh air bersih masyarakat tinggi angka hilang air kendala baik jaring pipa salah upaya atas masalah manfaat sistem informasi geografis sistem visualisasi peta jaring pipa lengkap modul awat gate valve lapor sistem distribusi atur sistem sistem mudah kerja sistem distribusi air pdam, Jurusan Teknik Informatika,RPL,"['pdam', 'usaha', 'kelola', 'butuh', 'air', 'masyarakat', 'tugas', 'utama', 'hasil', 'air', 'layak', 'kualitas', 'kuantitas', 'perancanaan', 'butuh', 'air', 'bersih', 'pdam', 'hadap', 'masalah', 'masalah', 'buat', 'ketidakmampuan', 'imbang', 'butuh', 'air', 'bersih', 'masyarakat', 'tinggi', 'angka', 'hilang', 'air', 'kendala', 'baik', 'jaring', 'pipa', 'salah', 'upaya', 'atas', 'masalah', 'manfaat', 'sistem', 'informasi', 'geografis', 'sistem', 'visualisasi', 'peta', 'jaring', 'pipa', 'lengkap', 'modul', 'awat', 'gate', 'valve', 'lapor', 'sistem', 'distribusi', 'atur', 'sistem', 'sistem', 'mudah', 'kerja', 'sistem', 'distribusi', 'air', 'pdam']"
SEGMENTASI PEMBULUH DARAH PADA CITRA FUNDUS BERBASIS MORPHOLOGY OPERATOR,Nararya Wahyu Dewa,"Dr. Arif Muntasa, S.Si, M.T","Dr. Indah Agustien S., S.Kom, M.Kom",mata organ manusia sakit deteksi mata mata identifikasi buluh darah deteksi buluh darah besar cabang normal buluh darah proses segmentasi sistem cepat akurat segmentasi buluh darah tugas segmentasi buluh darah metode morphology operator segmentasi buluh darah tahap preprocessing segmentasi langkah tahap preprocessing citra tahap preprocessing citra langkah rubah citra rgb green channel baik citra clahe negasi citra complement langkah tahap segmentasi citra morfologi tophat tebal putar sudut metode morphology operator biner citra local thresholding hapus noise citra hilang tepi field of view metode uji database drive citra fundus database dapat akurasi metode bukti segmentasi buluh darah citra fundus, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['mata', 'organ', 'manusia', 'sakit', 'deteksi', 'mata', 'mata', 'identifikasi', 'buluh', 'darah', 'deteksi', 'buluh', 'darah', 'besar', 'cabang', 'normal', 'buluh', 'darah', 'proses', 'segmentasi', 'sistem', 'cepat', 'akurat', 'segmentasi', 'buluh', 'darah', 'tugas', 'segmentasi', 'buluh', 'darah', 'metode', 'morphology', 'operator', 'segmentasi', 'buluh', 'darah', 'tahap', 'preprocessing', 'segmentasi', 'langkah', 'tahap', 'preprocessing', 'citra', 'tahap', 'preprocessing', 'citra', 'langkah', 'rubah', 'citra', 'rgb', 'green', 'channel', 'baik', 'citra', 'clahe', 'negasi', 'citra', 'complement', 'langkah', 'tahap', 'segmentasi', 'citra', 'morfologi', 'tophat', 'tebal', 'putar', 'sudut', 'metode', 'morphology', 'operator', 'biner', 'citra', 'local', 'thresholding', 'hapus', 'noise', 'citra', 'hilang', 'tepi', 'field', 'of', 'view', 'metode', 'uji', 'database', 'drive', 'citra', 'fundus', 'database', 'dapat', 'akurasi', 'metode', 'bukti', 'segmentasi', 'buluh', 'darah', 'citra', 'fundus']"
PENGEMBANGAN DAN PERBAIKAN POLA BERIMBUHAN PADA SISTEM PENTERJEMAH BAHASA MADURA,Ahmad Rivaâi,"Firdaus Solihin,S.Kom.,M.Kom.","Achmad Jauhari, S.T.,M.Kom.",upaya lestari bahasa madura teknologi informasi salah satu sistem penterjemah madura metode free context parsing algoritm sistem imbuh proses upaya baik kembang sistem sesuai arti imbuh tambah atur pola imbuh pola tingkat bahasa upaya baik sistem proses imbuh sistem penterjemah hasil baik uji coba kalimat imbuh sistem penterjemah madura indonesia tepat sistem sistem penterjemah indonesia madura total tepat sistem tingkat bahasa madura tingkat sistem tepat sistem tingkat halus sistem sistem tingkat halus sistem sistem baik kembang tambah atur pola imbuh pola tingkat bahasa jalan, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['upaya', 'lestari', 'bahasa', 'madura', 'teknologi', 'informasi', 'salah', 'satu', 'sistem', 'penterjemah', 'madura', 'metode', 'free', 'context', 'parsing', 'algoritm', 'sistem', 'imbuh', 'proses', 'upaya', 'baik', 'kembang', 'sistem', 'sesuai', 'arti', 'imbuh', 'tambah', 'atur', 'pola', 'imbuh', 'pola', 'tingkat', 'bahasa', 'upaya', 'baik', 'sistem', 'proses', 'imbuh', 'sistem', 'penterjemah', 'hasil', 'baik', 'uji', 'coba', 'kalimat', 'imbuh', 'sistem', 'penterjemah', 'madura', 'indonesia', 'tepat', 'sistem', 'sistem', 'penterjemah', 'indonesia', 'madura', 'total', 'tepat', 'sistem', 'tingkat', 'bahasa', 'madura', 'tingkat', 'sistem', 'tepat', 'sistem', 'tingkat', 'halus', 'sistem', 'sistem', 'tingkat', 'halus', 'sistem', 'sistem', 'baik', 'kembang', 'tambah', 'atur', 'pola', 'imbuh', 'pola', 'tingkat', 'bahasa', 'jalan']"
